Address,Grades,School_ID,ALD_15,Grade_Cat,:created_at,:id,:updated_at,:version,Short_Name,Longitude,Latitude,the_geom,GeoNetwork,WARD_15,Phone,Network,COMMAREA,Governance,Zip
244 E Pershing Rd,"9, 10, 11, 12",609727,Patricia R. Dowell,HS,2015-12-02T17:40:19.962Z,row-4rqb_p6ax-r598,2015-12-02T17:40:19.962Z,rv-gz25_nw29-7rhs,PHILLIPS HS,-87.619796,41.82388,POINT (-87.61979634587072 41.82387996859641),9,3,1(773)535-1603,AUSL,DOUGLAS,District,60653
3436 W Wilson Ave,"9, 10, 11, 12",609728,Deborah Mell,HS,2015-12-02T17:40:19.962Z,row-9ump-btu5-rh4r,2015-12-02T17:40:19.962Z,rv-qcg8.f2eg~uuvz,ROOSEVELT HS,-87.714819,41.964828,POINT (-87.71481861587411 41.96482788473771),1,33,1(773)534-5000,Network 1,ALBANY PARK,District,60625
3601 N Milwaukee Ave,"9, 10, 11, 12",609729,John Arena,HS,2015-12-02T17:40:19.962Z,row-e9q7.f3kf~33rw,2015-12-02T17:40:19.962Z,rv-pvr6-i4bp_4znf,SCHURZ HS,-87.735612,41.946365,POINT (-87.73561211024985 41.94636454337412),1,45,1(773)534-3420,Network 1,IRVING PARK,District,60641
5900 N Glenwood Ave,"9, 10, 11, 12",609730,Harry Osterman,HS,2015-12-02T17:40:19.962Z,row-a6mg.gq94.m8bh,2015-12-02T17:40:19.962Z,rv-k6ew.bqpf_yxsy,SENN HS,-87.667136,41.989029,POINT (-87.66713618965939 41.98902853902925),2,48,1(773)534-2365,Network 2,EDGEWATER,District,60660
3030 N Mobile Ave,"9, 10, 11, 12",609732,Nicholas Sposato,HS,2015-12-02T17:40:19.962Z,row-rge5~wy6q~s8c9,2015-12-02T17:40:19.962Z,rv-s3c9~hp2e.7dde,STEINMETZ HS,-87.783515,41.935634,POINT (-87.78351523303142 41.93563358800359),3,36,1(773)534-3030,Network 3,BELMONT CRAGIN,District,60634
6631 N Bosworth Ave,"9, 10, 11, 12",609733,Joe A. Moore,HS,2015-12-02T17:40:19.962Z,row-4fev_b2w6~uh3w,2015-12-02T17:40:19.962Z,rv-x5ry~44v8.r9m9,SULLIVAN HS,-87.669192,42.002688,POINT (-87.6691921456324 42.00268755904464),2,49,1(773)534-2000,Network 2,ROGERS PARK,District,60626
6530 W Bryn Mawr Ave,"7, 8, 9, 10, 11, 12",609734,Mary O'Connor,HS,2015-12-02T17:40:19.962Z,row-kyzz-ndpk-9kzf,2015-12-02T17:40:19.962Z,rv-zvwb~a9mr_ebey,TAFT HS,-87.791547,41.982961,POINT (-87.79154724888738 41.98296098663134),1,41,1(773)534-1000,Network 1,NORWOOD PARK,District,60631
4747 S Union Ave,"9, 10, 11, 12",609735,James A. Balcer,HS,2015-12-02T17:40:19.962Z,row-s6ty.3s3u-7arm,2015-12-02T17:40:19.962Z,rv-crrv_f3vt~aiah,TILDEN HS,-87.642966,41.80751,POINT (-87.64296648368519 41.807510071707746),8,11,1(773)535-1625,Network 8,NEW CITY,District,60609
5039 N Kimball Ave,"9, 10, 11, 12",609737,Margaret Laurino,HS,2015-12-02T17:40:19.962Z,row-yrc2~3wbt-yxxv,2015-12-02T17:40:19.962Z,rv-tc6m~j9rk.673x,VON STEUBEN HS,-87.713386,41.973185,POINT (-87.7133862532503 41.97318504859484),1,39,1(773)534-5100,Network 1,NORTH PARK,District,60625
2001 N Orchard St,"9, 10, 11, 12",609738,Michele Smith,HS,2015-12-02T17:40:19.962Z,row-b7h7-meys~e89n,2015-12-02T17:40:19.962Z,rv-v2pn~zghe~jg7p,LINCOLN PARK HS,-87.646009,41.918268,POINT (-87.64600935977136 41.91826831166824),4,43,1(773)534-8130,ISP,LINCOLN PARK,District,60614
3535 E 114th St,"9, 10, 11, 12",609739,John A. Pope,HS,2015-12-02T17:40:19.962Z,row-avwb-fp8w~h9jv,2015-12-02T17:40:19.962Z,rv-g3j9-2h6x_su6f,WASHINGTON HS,-87.53757,41.688137,POINT (-87.53757030014917 41.688136936429636),13,10,1(773)535-5725,Network 13,EAST SIDE,District,60617
936 N Ashland Ave,"9, 10, 11, 12",609740,Proco (Joe) Moreno III,HS,2015-12-02T17:40:19.962Z,row-dys6~dzk7~4gx7,2015-12-02T17:40:19.962Z,rv-4hiw~qgn6_rnnu,WELLS HS,-87.667483,41.898995,POINT (-87.66748286870542 41.89899470821062),6,1,1(773)534-7010,Network 6,WEST TOWN,District,60622
6200 S Hamlin Ave,"9, 10, 11, 12",609741,Michael R. Zalewski,HS,2015-12-02T17:40:19.962Z,row-tu4y.qtfp.mvkh,2015-12-02T17:40:19.962Z,rv-vu2r~thew-p3v8,HUBBARD HS,-87.718014,41.780526,POINT (-87.7180137434039 41.780526387480066),10,23,1(773)535-2200,Network 10,WEST LAWN,District,60629
3730 W Bryn Mawr Ave,"9, 10, 11, 12",609744,Margaret Laurino,HS,2015-12-02T17:40:19.962Z,row-6bkh.ixt5~vj6b,2015-12-02T17:40:19.962Z,rv-ise2.wzsr-9g3w,NORTHSIDE LEARNING HS,-87.722386,41.982973,POINT (-87.7223862157087 41.982972522184035),1,39,1(773)534-5180,Network 1,NORTH PARK,District,60659
7342 S Hoyne Ave,"11, 12",609745,Latasha R. Thomas,HS,2015-12-02T17:40:19.962Z,row-j73q.adw6_duxp,2015-12-02T17:40:19.962Z,rv-cvsg-4vfg~s7w4,SOUTHSIDE HS,-87.675947,41.759852,POINT (-87.67594676754263 41.75985242883261),11,17,1(773)535-9100,Network 11,WEST ENGLEWOOD,District,60636
5015 S Blackstone Ave,"7, 8, 9, 10, 11, 12",609746,"William ""Will"" D. Burns",HS,2015-12-02T17:40:19.962Z,row-fega~3unh.527h,2015-12-02T17:40:19.962Z,rv-d8gu-i3vt-m2f7,KENWOOD HS,-87.590421,41.803772,POINT (-87.59042088967382 41.80377211955022),9,4,1(773)535-1350,Network 9,KENWOOD,District,60615
2700 S California Ave,"9, 10, 11, 12",609748,Michael D. Chandler,HS,2015-12-02T17:40:19.962Z,row-yaqi-mwfs.mbki,2015-12-02T17:40:19.962Z,rv-j8m3~r62b_rsyz,YORK HS,-87.695261,41.842533,POINT (-87.69526101546586 41.84253334878237),7,24,1(773)535-7021,Options,SOUTH LAWNDALE,District,60608
5501 N Kedzie Ave,"9, 10, 11, 12",609749,Patrick O'Connor,HS,2015-12-02T17:40:19.962Z,row-f96w~d4hh_2bkg,2015-12-02T17:40:19.962Z,rv-2xu3~xvz3~sgdb,NORTHSIDE PREP HS,-87.708708,41.981315,POINT (-87.70870780028477 41.981315282997855),1,40,1(773)534-3954,Network 1,NORTH PARK,District,60625
1321 S Paulina St,"8, 9, 10, 11, 12",609750,Jason C. Ervin,HS,2015-12-02T17:40:19.962Z,row-viig-cecy~uax2,2015-12-02T17:40:19.962Z,rv-zydr.b6dh.rv9j,SIMPSON HS,-87.668722,41.864365,POINT (-87.66872222929065 41.86436548318817),6,28,1(773)534-7812,Options,NEAR WEST SIDE,District,60608
4445 S Drexel Blvd,"9, 10, 11, 12",609751,"William ""Will"" D. Burns",HS,2015-12-02T17:40:19.962Z,row-5mzi.44uk~7ic9,2015-12-02T17:40:19.962Z,rv-zqju~jkd4_emim,KING HS,-87.603874,41.813675,POINT (-87.60387386150119 41.813675452906),9,4,1(773)535-1180,Network 9,KENWOOD,District,60653
3857 W 111th St,"9, 10, 11, 12",609753,Matthew J. O'Shea,HS,2015-12-02T17:40:19.962Z,row-99pg_na9i.8qc6,2015-12-02T17:40:19.962Z,rv-uk75.mctm~5y6y,CHICAGO AGRICULTURE HS,-87.71777,41.691221,POINT (-87.71776967258769 41.69122074223002),10,19,1(773)535-2500,Network 10,MOUNT GREENWOOD,District,60655
3519 S Giles Ave,"9, 10, 11, 12",609754,Patricia R. Dowell,HS,2015-12-02T17:40:19.962Z,row-rvy8_ysyq.nxn5,2015-12-02T17:40:19.962Z,rv-j7jr-pujp.k953,CHICAGO MILITARY HS,-87.619216,41.830555,POINT (-87.61921554276002 41.83055497792453),9,3,1(773)534-9750,SLA,DOUGLAS,District,60653
211 S Laflin St,"7, 8, 9, 10, 11, 12",609755,"Walter Burnett, Jr.",HS,2015-12-02T17:40:19.962Z,row-f2pv.swbn-jrmb,2015-12-02T17:40:19.962Z,rv-k8g3-8hsk~j3yx,YOUNG HS,-87.664233,41.878603,POINT (-87.66423334279986 41.878602533533325),6,27,1(773)534-7500,ISP,NEAR WEST SIDE,District,60607
4959 S Archer Ave,"9, 10, 11, 12",609756,Edward M. Burke,HS,2015-12-02T17:40:19.962Z,row-qdf9_jf6j_rkxm,2015-12-02T17:40:19.962Z,rv-jvrm~hkbx~rbr2,CURIE HS,-87.722042,41.80306,POINT (-87.72204165486488 41.80306020731717),8,14,1(773)535-2100,Network 8,ARCHER HEIGHTS,District,60632
1147 N Western Ave,"9, 10, 11, 12",609759,Proco (Joe) Moreno III,HS,2015-12-02T17:40:19.962Z,row-hw3s~pr7t~7aha,2015-12-02T17:40:19.962Z,rv-uw6t_4gnf.33zf,CLEMENTE HS,-87.686906,41.902626,POINT (-87.6869061464135 41.902625792174874),5,1,1(773)534-4000,OS4,WEST TOWN,District,60622
13100 S Doty Ave,"9, 10, 11, 12",609760,Anthony A. Beale,HS,2015-12-02T17:40:19.962Z,row-p5er_zkb6-7m24,2015-12-02T17:40:19.962Z,rv-dn4q~u6wn_egrr,CARVER MILITARY HS,-87.59062,41.65629,POINT (-87.59062038494643 41.65628995178471),13,9,1(773)535-5250,SLA,RIVERDALE,District,60627
821 E 103rd St,"9, 10, 11, 12",609761,Anthony A. Beale,HS,2015-12-02T17:40:19.962Z,row-cypg_e5nx-ezpv,2015-12-02T17:40:19.962Z,rv-xr76-mp5v.naf5,CORLISS HS,-87.601216,41.70666,POINT (-87.6012158765708 41.7066596171329),13,9,1(773)535-5115,Network 13,PULLMAN,District,60628
10330 S Elizabeth St,"9, 10, 11, 12",609762,Carrie M. Austin,HS,2015-12-02T17:40:19.962Z,row-9vgb-kefr.bw23,2015-12-02T17:40:19.962Z,rv-qdc8~ic8n.bxcu,JULIAN HS,-87.653749,41.705859,POINT (-87.6537492110693 41.705858936649804),10,34,1(773)535-5170,Network 13,WASHINGTON HEIGHTS,District,60643
2150 S Laflin St,"9, 10, 11, 12",609764,Daniel S. Solis,HS,2015-12-02T17:40:19.962Z,row-fu5s-k2em-hwws,2015-12-02T17:40:19.962Z,rv-6sgj_6sft.skba,JUAREZ HS,-87.663732,41.852667,POINT (-87.6637324465737 41.85266660015807),7,25,1(773)534-7030,ISP,LOWER WEST SIDE,District,60608
4355 N Linder Ave,"9, 10, 11, 12",609766,Timothy M. Cullerton,HS,2015-12-02T17:40:19.962Z,row-jc7d_r6gd.tpt9,2015-12-02T17:40:19.962Z,rv-vmzq.5jtf_6mkg,VAUGHN HS,-87.764663,41.960364,POINT (-87.76466317314798 41.960363796892295),1,38,1(773)534-3600,Network 1,PORTAGE PARK,District,60641
5515 S Lowe Ave,"9, 10, 11, 12",609768,Willie B. Cochran,HS,2015-12-02T17:40:19.962Z,row-9zzq-tysv~4ia4,2015-12-02T17:40:19.962Z,rv-qpi2~3qhx~kac4,HOPE HS,-87.641244,41.793553,POINT (-87.64124410974131 41.79355346753225),11,20,1(773)535-3160,Network 11,ENGLEWOOD,District,60621
2347 S Wabash Ave,"9, 10, 11, 12",609769,Patricia R. Dowell,HS,2015-12-02T17:40:19.962Z,row-rm3p~asm2-7fgu,2015-12-02T17:40:19.962Z,rv-hjh4.ra59-c8q5,GRAHAM HS,-87.625315,41.849675,POINT (-87.62531481577435 41.84967541803652),6,3,1(773)534-9257,Network 6,NEAR SOUTH SIDE,District,60616
10810 S Avenue H,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609772,John A. Pope,ES,2015-12-02T17:40:19.962Z,row-2vv9-wu5w_cf5h,2015-12-02T17:40:19.962Z,rv-vu4i.i62i-vp6m,ADDAMS,-87.532976,41.698739,POINT (-87.53297604185967 41.698738800280616),13,10,1(773)535-6210,Network 13,EAST SIDE,District,60617
2851 N Seminary Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609773,Thomas Tunney,ES,2015-12-02T17:40:19.962Z,row-t3dr~hcub_xxq4,2015-12-02T17:40:19.962Z,rv-cc72~69ki~3ktd,AGASSIZ,-87.656229,41.934126,POINT (-87.65622866786502 41.934126298153714),4,44,1(773)534-5725,Network 4,LAKE VIEW,District,60657
950 W 33rd Pl,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609777,James A. Balcer,ES,2015-12-02T17:40:19.962Z,row-n8sv_zquz~i8jb,2015-12-02T17:40:19.962Z,rv-yfe7_3fxg~injw,ARMOUR,-87.650653,41.833854,POINT (-87.65065315593255 41.83385390993294),6,11,1(773)535-4530,Network 6,BRIDGEPORT,District,60608
2110 W Greenleaf Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609779,Debra L. Silverstein,ES,2015-12-02T17:40:19.962Z,row-efws.5xhg_eapu,2015-12-02T17:40:19.962Z,rv-k4xj.nvip.mvas,ARMSTRONG G,-87.684442,42.01015,POINT (-87.6844418272272 42.01014998439017),2,50,1(773)534-2150,Network 2,WEST RIDGE,District,60645
1920 N Hamlin Ave,"7, 8, 9, 10, 11, 12",609780,Roberto Maldonado,HS,2015-12-02T17:40:19.962Z,row-ipbc~m7ir_tsuj,2015-12-02T17:40:19.962Z,rv-pvdy-izca~8uby,MARINE LEADERSHIP AT AMES HS,-87.721742,41.916045,POINT (-87.72174231736754 41.91604463360454),4,26,1(773)534-4970,SLA,LOGAN SQUARE,District,60647
3500 N Hoyne Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609782,Ameya Pawar,ES,2015-12-02T17:40:19.962Z,row-hd45_3uau_q8r2,2015-12-02T17:40:19.962Z,rv-ezpp_y74s~qm46,AUDUBON,-87.681041,41.945062,POINT (-87.68104105326039 41.945062225026966),4,47,1(773)534-5470,Network 4,NORTH CENTER,District,60618
1100 S Hamilton Ave,"6, 7, 8, 9, 10, 11, 12",609783,"Walter Burnett, Jr.",HS,2015-12-02T17:40:19.962Z,row-kff2~bd8d.y748,2015-12-02T17:40:19.962Z,rv-p3ki_tipa_d4jd,JEFFERSON HS,-87.680418,41.867832,POINT (-87.68041755513862 41.86783228575905),6,27,1(312)433-7110,Options,NEAR WEST SIDE,District,60612
8045 S Kenwood Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609786,Michelle A. Harris,ES,2015-12-02T17:40:19.962Z,row-x826~m2zp~7vay,2015-12-02T17:40:19.962Z,rv-vkey.m7ge~ecgf,AVALON PARK,-87.591654,41.748247,POINT (-87.59165381066411 41.748246994406024),12,8,1(773)535-6615,Network 12,AVALON PARK,District,60619
10354 S Charles St,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609788,Matthew J. O'Shea,ES,2015-12-02T17:40:19.962Z,row-q8ft~876u~25fb,2015-12-02T17:40:19.962Z,rv-4857.ma5q_nydv,BARNARD,-87.658074,41.705131,POINT (-87.65807422421867 41.70513101172685),10,19,1(773)535-2625,Network 10,BEVERLY,District,60643
2828 N Kilbourn Ave,"PK, K, 1, 2, 3, 4, 5, 6",609789,Ray Suarez,ES,2015-12-02T17:40:19.962Z,row-vhyp.4efy-subh,2015-12-02T17:40:19.962Z,rv-p7x8~jfxh.rpsc,BARRY,-87.739388,41.932511,POINT (-87.73938835131963 41.932510583541145),4,31,1(773)534-3455,Network 4,HERMOSA,District,60641
7650 S Wolcott Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609790,Latasha R. Thomas,ES,2015-12-02T17:40:19.962Z,row-n22g~t8b2~qd3q,2015-12-02T17:40:19.962Z,rv-m4ga-ggvh~pwhq,BARTON,-87.670927,41.754194,POINT (-87.67092712893017 41.754193850494374),11,17,1(773)535-3260,Network 11,AUBURN GRESHAM,District,60620
1140 W 66th St,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609791,JoAnn Thompson,ES,2015-12-02T17:40:19.962Z,row-ivwq~teuk~5jgs,2015-12-02T17:40:19.962Z,rv-bhkq-zcyw.n59w,BASS,-87.653532,41.774246,POINT (-87.65353241973901 41.774246450896506),11,16,1(773)535-3275,Network 11,ENGLEWOOD,District,60621
4220 N Richmond St,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609792,Deborah Mell,ES,2015-12-02T17:40:19.962Z,row-7v96.5pui_m9ep,2015-12-02T17:40:19.962Z,rv-hebx.xij9.sw49,BATEMAN,-87.702151,41.95822,POINT (-87.70215096221916 41.95821983935837),1,33,1(773)534-5055,Network 1,IRVING PARK,District,60618
6006 S Peoria St,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609793,JoAnn Thompson,ES,2015-12-02T17:40:19.962Z,row-xqk8-m7w9~vjfh,2015-12-02T17:40:19.962Z,rv-atgu_9hi2~x5t9,NICHOLSON,-87.647453,41.784942,POINT (-87.64745284218537 41.78494238024299),11,16,1(773)535-3285,Network 11,ENGLEWOOD,District,60621
4929 N Sawyer Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",609794,Deborah Mell,ES,2015-12-02T17:40:19.962Z,row-t8xr-izv9_degc,2015-12-02T17:40:19.962Z,rv-heps_fhvh_cin9,EDISON,-87.709304,41.971506,POINT (-87.70930366601418 41.97150609695558),1,33,1(773)534-0540,Network 1,ALBANY PARK,District,60625
1045 S Monitor Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609795,Deborah L. Graham,ES,2015-12-02T17:40:19.962Z,row-xbkp~km6j~95zi,2015-12-02T17:40:19.962Z,rv-a5zj~q5th_a8di,CLARK ES,-87.770418,41.867813,POINT (-87.77041752681555 41.86781256847059),3,29,1(773)534-6225,Network 3,AUSTIN,District,60644
5025 N Laramie Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609796,John Arena,ES,2015-12-02T17:40:19.962Z,row-54w2-qm28.rcfv,2015-12-02T17:40:19.962Z,rv-n5kp.azz2-dej5,BEAUBIEN,-87.757565,41.972394,POINT (-87.75756503952019 41.97239394518009),1,45,1(773)534-3500,Network 1,JEFFERSON PARK,District,60630
3151 W Walnut St,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609797,"Walter Burnett, Jr.",ES,2015-12-02T17:40:19.962Z,row-p8h2-dmad_e4m3,2015-12-02T17:40:19.962Z,rv-vg5y.dgty_ucnq,BEIDLER,-87.705855,41.885321,POINT (-87.70585481253717 41.88532104046794),5,27,1(773)534-6811,Network 5,EAST GARFIELD PARK,District,60612
4257 N Tripp Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609798,Margaret Laurino,ES,2015-12-02T17:40:19.962Z,row-fhhc.tj25-34zd,2015-12-02T17:40:19.962Z,rv-4t6z_jtue~teyd,BELDING,-87.73402,41.958938,POINT (-87.7340197291338 41.95893849417326),1,39,1(773)534-3590,Network 1,IRVING PARK,District,60641
3730 N Oakley Ave,"K, 1, 2, 3, 4, 5, 6, 7, 8",609799,Ameya Pawar,ES,2015-12-02T17:40:19.962Z,row-q6cq_jteg.n9r5,2015-12-02T17:40:19.962Z,rv-vz8y.e7sa~ic64,BELL,-87.686018,41.94953,POINT (-87.68601824452615 41.949529799045145),4,47,1(773)534-5150,Network 4,NORTH CENTER,District,60618
10115 S Prairie Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609800,Anthony A. Beale,ES,2015-12-02T17:40:19.962Z,row-7npm_utiw.efdp,2015-12-02T17:40:19.962Z,rv-rqji_b8x5_cnbq,BENNETT,-87.61739,41.710435,POINT (-87.61739045569578 41.710434949606494),13,9,1(773)535-5460,Network 13,ROSELAND,District,60628
1420 W Grace St,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609803,Thomas Tunney,ES,2015-12-02T17:40:19.962Z,row-2rm7_5mcf.pth9,2015-12-02T17:40:19.962Z,rv-mxhz_abnc.b3hg,BLAINE,-87.664968,41.950781,POINT (-87.66496784430818 41.950780518746996),4,44,1(773)534-5750,Network 4,LAKE VIEW,District,60613
6710 N Washtenaw Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609804,Debra L. Silverstein,ES,2015-12-02T17:40:19.962Z,row-yb6s-74sv_38hp,2015-12-02T17:40:19.962Z,rv-b3i2~2749.xujb,BOONE,-87.697463,42.003412,POINT (-87.69746282200741 42.00341160771439),2,50,1(773)534-2160,Network 2,WEST RIDGE,District,60645
7931 S Honore St,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609805,Latasha R. Thomas,ES,2015-12-02T17:40:19.962Z,row-jewm.wk52.5vtm,2015-12-02T17:40:19.962Z,rv-j8vh-wbvq_q6uu,JOPLIN,-87.669366,41.749339,POINT (-87.66936564977568 41.749339161801984),11,17,1(773)535-3425,Network 11,AUBURN GRESHAM,District,60620
7736 S Burnham Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609806,Natashia Holmes,ES,2015-12-02T17:40:19.962Z,row-ndyp~hvck.qcka,2015-12-02T17:40:19.962Z,rv-b98w-fiyp-rsqa,BRADWELL,-87.557142,41.754365,POINT (-87.55714197049453 41.75436513223218),12,7,1(773)535-6600,AUSL,SOUTH SHORE,District,60649
3434 W 77th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",609807,Lona Lane,ES,2015-12-02T17:40:19.962Z,row-fbiv-9crj.45k6,2015-12-02T17:40:19.962Z,rv-5viz.ug3i-d7uj,HAMPTON,-87.708731,41.753457,POINT (-87.70873128492237 41.75345719340535),10,18,1(773)535-4030,Network 10,ASHBURN,District,60652
11411 S Eggleston Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609808,Carrie M. Austin,ES,2015-12-02T17:40:19.962Z,row-qjn9~eegd_k8ef,2015-12-02T17:40:19.962Z,rv-85si_z49z-7m4m,HALEY,-87.633632,41.68666,POINT (-87.6336321364016 41.68665997049498),13,34,1(773)535-5340,Network 13,ROSELAND,District,60628
2723 N Fairfield Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609809,Scott Waguespack,ES,2015-12-02T17:40:19.962Z,row-iqqt-qgb8~rsvr,2015-12-02T17:40:19.962Z,rv-vsdp_5wby~gcxi,BRENTANO,-87.696294,41.930966,POINT (-87.69629419836072 41.93096609655106),4,32,1(773)534-4100,Network 4,LOGAN SQUARE,District,60647
3800 N New England Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609810,Timothy M. Cullerton,ES,2015-12-02T17:40:19.962Z,row-i3gq-n7fr.ic7y,2015-12-02T17:40:19.962Z,rv-ieiu-xt4b~vrtu,BRIDGE,-87.798669,41.949114,POINT (-87.7986689200339 41.9491143867471),1,38,1(773)534-3718,Network 1,DUNNING,District,60634
10740 S Calhoun Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609811,John A. Pope,ES,2015-12-02T17:40:19.962Z,row-ff74~mkkh.qtzr,2015-12-02T17:40:19.962Z,rv-dnhd-g5mn-ueyb,BRIGHT,-87.562084,41.699726,POINT (-87.56208422941677 41.69972622174497),13,10,1(773)535-6215,Network 13,SOUTH DEERING,District,60617
54 N Hermitage Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609812,"Walter Burnett, Jr.",ES,2015-12-02T17:40:19.962Z,row-84zu_7fqg_gkax,2015-12-02T17:40:19.962Z,rv-z2b6_th9r.mgzw,BROWN W,-87.670682,41.882997,POINT (-87.6706823910512 41.8829967847415),6,27,1(773)534-7250,Network 6,NEAR WEST SIDE,District,60612
6741 S Michigan Ave,"PK, K, 1, 2, 3, 4, 5, 6",609813,Roderick T. Sawyer,ES,2015-12-02T17:40:19.962Z,row-a92p~y8mi.2zpj,2015-12-02T17:40:19.962Z,rv-fwht.6suq.3sku,BROWNELL,-87.621746,41.77162,POINT (-87.62174596862063 41.77162036005252),12,6,1(773)535-3030,Network 12,GREATER GRAND CROSSING,District,60637
7355 S Jeffery Blvd,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609815,Natashia Holmes,ES,2015-12-02T17:40:19.962Z,row-cbaw.w8ns-e4tq,2015-12-02T17:40:19.962Z,rv-iksj-zima.dd96,BOUCHET,-87.576075,41.760847,POINT (-87.57607485767996 41.76084748107714),12,7,1(773)535-0501,Network 12,SOUTH SHORE,District,60649
2701 W Foster Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609817,Patrick O'Connor,ES,2015-12-02T17:40:19.962Z,row-8maj~ypxz~u8we,2015-12-02T17:40:19.962Z,rv-fhqh-qghj~p6dn,BUDLONG,-87.696556,41.975754,POINT (-87.6965560322374 41.97575433070856),2,40,1(773)534-2591,Network 2,LINCOLN SQUARE,District,60625
2035 N Mobile Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609818,Deborah L. Graham,ES,2015-12-02T17:40:19.962Z,row-fmbj~q7fx~4ph2,2015-12-02T17:40:19.962Z,rv-frfb-tz4v-frfj,BURBANK,-87.7827,41.917598,POINT (-87.7826995703658 41.91759813794979),3,29,1(773)534-3000,Network 3,BELMONT CRAGIN,District,60639
5356 S King Dr,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609819,Patricia R. Dowell,ES,2015-12-02T17:40:19.962Z,row-bnpv.basg-4gc8,2015-12-02T17:40:19.962Z,rv-bmn3-6aer_zfiv,BURKE,-87.616141,41.79676,POINT (-87.61614052409718 41.796759564093136),9,3,1(773)535-1325,OS4,WASHINGTON PARK,District,60615
1630 W Barry Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609820,Scott Waguespack,ES,2015-12-02T17:40:19.962Z,row-a5tb-s98q_u4w5,2015-12-02T17:40:19.962Z,rv-w55r_3ius-rr8s,BURLEY,-87.669853,41.937937,POINT (-87.66985312359844 41.93793747421322),4,32,1(773)534-5475,Network 4,LAKE VIEW,District,60657
9928 S Crandon Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609821,Natashia Holmes,ES,2015-12-02T17:40:19.962Z,row-z88i_4q8v~ycpy,2015-12-02T17:40:19.962Z,rv-p9xb_c5iz-fi4p,BURNHAM,-87.567131,41.714402,POINT (-87.56713059140394 41.71440206280562),13,7,1(773)535-6530,ISP,SOUTH DEERING,District,60617
2524 S Central Park Ave,"4, 5, 6, 7, 8",609826,Ricardo Munoz,ES,2015-12-02T17:40:19.962Z,row-grpq.45nb_xztg,2015-12-02T17:40:19.962Z,rv-3wtx-tuxd_tewz,CASTELLANOS,-87.714927,41.84545,POINT (-87.71492701373938 41.8454498793978),7,22,1(773)534-1620,Network 7,SOUTH LAWNDALE,District,60623
650 E 91st Pl,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609827,Michelle A. Harris,ES,2015-12-02T17:40:19.962Z,row-paqy_e4cs~nwp6,2015-12-02T17:40:19.962Z,rv-n5e4~6a78.ccaw,BURNSIDE,-87.607435,41.728481,POINT (-87.60743532151142 41.72848063864711),12,8,1(773)535-3300,Network 12,CHATHAM,District,60619
1621 W Wabansia Ave,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",609828,Scott Waguespack,ES,2015-12-02T17:40:19.962Z,row-uw7r_bxui~fphy,2015-12-02T17:40:19.962Z,rv-fwa6-7rhy_z78w,BURR,-87.668661,41.912358,POINT (-87.66866060399342 41.91235790842861),6,32,1(773)534-4090,Network 6,WEST TOWN,District,60622
